fish,물고기|어류|생선|고기잡이하다|어업의
wonderful,멋진|훌륭한|놀라운|좋은|아름다운
responsible,책임이 있는|담당의|원인이 되는|신뢰할 수 있는|역할을 하다
above,위에|이상인|하늘에|상기(上記)한
clip,동영상|클립|속도|집게|자르다
persuasion,설득|신앙
advertiser,광고자|광고인|광고주
refugee,난민|이탈자|망명자
immigration,이민|출입국 관리|이주
particular,특정한|특별한|특수한|특히 이|특이한
respectively,각각|각자|각기
widely,널리|가장|광범위하게|대부분
lately,최근에|요즘|근래|요새
agreeable,동의할 만한|쾌적한|상냥한|마음에 드는
probable,가능성|그럴듯한|확실한
truly,진정|정말|사실대로|진심으로|참으로
simply,단순히|간단히|그저|아주|전혀
closely,긴밀히|면밀하게|더|가까이|유심히
unlock,열다|잠기지 않은|밝히다
uncoil,풀다|풀리다|똬리를 풀다
unselfish,이타적인|무사한|이기적이 아닌
unjust,부당한
uncool,싫은|성가신|거친
uncomfortable,불편한|민감한|불쾌감을 주는
untouchable,불가촉 천민|손대어서는 안 되는|당할 수 없는
unusual,특이한|드문|특별한|이상한|독특한
unnatural,부자연스러운|비정상적인|극도로 잔혹한
unable,…할 수 없는|…하지 못하는|불가능한|무능한
unsatisfactory,불만족스러운|불충분한
contentment,만족|흡족해함
pleasure,즐거움|기쁨|쾌락|기쁘다|반갑다
satisfying,만족시키는|충분한|납득이 가는
wooden,목제의|나무의|나무로 만든
early,초기|초|일찍|이른|어린
spacious,넓은|널찍한|공간이 넓은
veranda,a porch along the outside of a building
footwork,풋워크|발놀림|교묘한 처리
southeast,동남|남동|남동부
flowerpot,화분
playground,놀이터|운동장
homeroom,홈룸|홈룸 시간
grandparent,조부모
trip,여행|방문하다|출장|이동|활동
country,나라|국가|지역|조국|분야
backpack,배낭|등짐|배낭을 지고 걷다
server,서버|종업원|직원|근무자|봉사자
clerk,직원|사무원|점원|서기|은행원
professor,교수|박사|선생
committee,위원회
chairperson,사회자|회장|의장
cram,밀어 넣다
institute,연구소|협회|대학교|전문교육기관|시행하다
nation,국가|나라|국민|민족
among,…중에|대한|…사이에|가운데|상호간에
academy,아카데미|학술원|학교|학원|아카데미상
cereal,시리얼|곡물
turkey,칠면조|튀르키예
expect,예상하다|기대하다|생각하다|바라다|기다리다
lightning,번개|벼락|전율
recognize,인정하다|인식하다|알다|알아보다|깨닫다
already,이미|벌써|지금까지|충분히|이전에
officially,공식으로|정식으로|본격적으로|공인|공무상
include,포함하다|포괄하다|함유하다
lasting,지속되는|영구적인|내구력이 있는|오랜|영원한
enduring,지속하는|인내|영속적인|참을성있는|변함없는
permanent,영구적인|상설의|정규직의|영원한|불변의
eternal,영원한|무한한|불변의|불멸의|천추의
everlasting,영원한|끝없는|끊임없는
ageless,영원한|언제나 젊은|불로의
endless,끝없는|무한한|많은|장황한
unchanged,불변의|변하지 않은|원래대로의
timeless,시간을 초월한|시대를 초월한|영원한
cafeteria,구내 식당|카페테리아
shall,…할까요|…해야 하다|…일 것이다|…해주어야겠다|…시키겠다
coat,코트|칠하다|도금|외피|외투
helmet,헬멧|…에 헬멧을 씌우다|안전모|투구|마스크
mask,마스크|가면|감추다|안대
glove,장갑|글러브
ant,개미
spider,거미
job,일|직업|직무|일자리|수술
certainly,분명히|확실히|물론이지|정말로|절대적으로
meteorologist,a specialist who studies processes in the earth's atmosphere that cause weather conditions
humanist,인문주의자|인도주의자|인본주의
biologist,생물학자
psychologist,심리학자|정신과 의사
perfectionist,완벽주의자
tourist,관광객|관광의
artist,예술가|아티스트|화가|미술가|작가
participate,참여하다|참가하다|참석하다|출전하다|동참하다
abroad,해외에|외국에|널리
dentist,치과의사
savor,맛|풍미|맛이 나다
taste,맛|맛보다|취향|미각
pedestrian,보행의|도보의|평범한
colleague,동료
companion,동반자|친구|동료|벗|반려
distinction,구별|차이|차별|영예
beginner,초보자|초심자
shipwreck,난파하다|난파|난파선
archipelago,다도해|군도|에게 해
dugong,듀공
seabed,해저
shore,해안|강화하다|육지|기슭
coast,해안|연안|해변
proud,자랑스러운|자신감이 강한|자부심이 강한|당당한|자존심이 강한
reef,산호초|암초
coral,산호
theory,이론|견해|가설
beneath,아래에|밑에|지하에|가치가 없는|…의 이면에
deserve,자격|만하다|마땅히|가치|싸다
envious,부러워하는|시기하는
method,방법|방식|수단
hidden,숨은|감춰진|비밀의|남모르게
describe,묘사하다|설명하다|표현하다|기술하다|그리다
choir,합창하다|성가대
choral,합창의|합창으로 부르는
chorus,코러스|합창|이구동성
benefit,혜택|이익|도움이 되다
limitation,a principle that limits the extent of something
advantageous,유리한|이로운|…하기 좋은
promotion,증진|진흥|승진|촉진|홍보
merit,장점|가치|공로|이점|혜택
scale,규모|척도|등급|비교하다|음계
conductor,지휘자|전도체|안내자
vocalist,a person who sings
tune,조율하다|곡|주파수를 맞추다|연주하다|서로 맞다
depend,따라|의존하다|달리다|의지하다|좌우되다
Mentor,스승|조언자|멘토르
everything,모든|모든 것|모두|최선|만사
drink,마시다|음료|음주|먹다|한 잔
confuse,혼란스럽다|혼동하다|당황하게 하다|어리둥절하게 하다
delicious,맛있는|맛좋은|달콤한|즐거운|먹음직
prepare,준비하다|대비하다|마련하다
coke,콜라|코크스|코카인
up,증가하다|위|오르다|일어나다|늘리다
dictionary,사전|딕셔너리
kicking,a rhythmic thrusting movement of the legs as in swimming or calisthenics
beginning,시작|처음|초|기원|개시
building,건물|건축|빌딩
dating,날짜 기입|선일부|연대 결정
rating,등급|평가|시청률|평점
funding,자금 제공|지원|투자|기금|재정
true,사실|진정한|진짜의|정말|정확한
recently,최근에|얼마전|근래에|요즘에|요즈음
guess,…라고 생각하다|…인 것 같다|추측하다|맞히다|짐작하다
meaning,의미|의미 있는|뜻|의도|중요성
bath,목욕|목욕물|욕실|욕조
down,내리다|지다|내려가다|아래로|앉다
exciting,흥미진진한|흥분시키는|재미있는|신나는|놀라운
ring,링|반지|울리다|고리|전화하다
thing,것|일|상황|물건|짓
ink,잉크|서명하다|먹물
industry,산업|업계|제조업|공업
broadcasting,방송
energetic,힘이 넘치는|활기찬|정력적인|활동적인
on the straight,똑바로|정직하게|일직선으로
passer,통행인|통과하는 사람|시험 합격자
international,국제적인|국제의|국제간의|인터내셔널
interview,인터뷰|면접|면담|회견
reporter,기자|리포터
active,능동적인|활동적인|적극적인|활발한|현역의
sucking,빠는|젖내나는|아직 젖이 떨어지지 않은
belong,속하다|…의 것이다|소유하다|어울리다
napkin,냅킨
tuck in,진수 성찬|걸어지르는 부분
elbow,주관절 |팔꿈치|팔|엘보우
fast food,패스트푸드|즉석 식품|즉석 요리의
in case of,…의 경우에는|…한 때에는|…에 대비하여
guide,가이드|유도하다|안내하다|지도하다|인도하다
waitress,웨이트리스|여종업원
until,…할 때까지|…까지|…이 되어 비로소
directly,직접적으로|곧바로|곧장|똑바로|일직선으로
breakfast,아침|아침식사|조식
celebrate,기념하다|축하하다|찬양하다|맞이하다|경축하다
custom,세관|관습|풍습|맞춤의|문화
ancestor,조상|선조|시조
Memorial Day,전몰 장병 기념일|현충일|영령 추도일
in a hurry,서둘러|황급히|조급히
photogenic,사진이 잘 받는|영화에 알맞은|발광성의
in person,직접의|실제로 하는|개인적으로|실물은|본인이 직접
bought,샀다|구입했다|장만했다
overland,육로로|육상의|육로의
turn off,끄다|흥미를 잃다|벗어나다|해고하다|만들어내다
fan,팬|좋아하는|선풍기|부채|부추기다
dad,아빠
in public,공공|국민|공|대중|공개적으로
loudly,크게|큰 소리로|요란하게|단호하게
such as,같은|등|처럼|이러한|포함한
culture shock,문화 쇼크|문화 충격
face,얼굴|직면하다|표정
generally,일반적으로|대개|대체로|보통|전반적으로
special,특별한|특수한|특이한|임시의|스페셜
borrow,빌리다|대여하다|차용하다|빚지다
last,지난|마지막의|지속되다|최종의|끝
invade,침공|침략하다|침범|침입하다|공격
billion,10억|막대한 수
over,…이상|끝나서|위의|너무
population,인구|사람들|모집단|집단|개체군
argument,논쟁|주장|말다툼|논거|논점
point,지적하다|점|포인트|요점|시점
education,교육|훈련|교양
discuss,논의하다|협의|이야기하다|토론하다|대화
originally,원래|처음에는|처음부터|본래
ancestry,조상|문벌|기원
talk about,이야기하다|말하다|말씀|논의하다|회담
smoker,담배를 피우는 사람|훈제업자|끽연가
punish,처벌하다|벌을 주다|응징하다|체벌하다|혼내다
firmly,강하게|확고하게|꽉|자신 있게
smoking,흡연|담배를 피우는|연기 나는
proposal,제안|계획|제의|안|청혼
upset,화난|기분 나쁜|당황|혼란|아픈
bother,괴롭히다|성가시게 하다|신경쓰이다|귀찮게 하다|걱정하다
vacancy,빈자리|빈방|결원
anyway,어쨌든|아무튼|어차피|그래서|결국
sure,확신하고|확실히|물론|분명히|반드시
capable,할 수 있는|능력있는|가능한|가능성있는|유능한
increase,증가하다|늘리다|인상되다|확대하다|상승하다
graduate,졸업하다|대학원생의|대졸자|학사
college,대학|연구소|칼리지
salary,월급|연봉|급여|임금|보수
tempt,유혹하다|하고 싶은|끌다|꾀다
data,데이터|자료|정보
presentation,프레젠테이션|발표|설명|제출
botch,…을 망쳐 놓다|종기|엉성한 일
end up,...게 되다|결국 ... 되다|끝나다|...고 말았다
frankly,솔직히|사실
answer,답하다|대답|해답|전화를 받다|응답하다
show,보여주다|쇼|보이고 있다|나타나다|전시회
deal,다루다|거래|대처하다|계약|주다
tough,힘든|어려운|강한|터프한|거친
disagreement,이견|불일치|불화|논쟁
negotiation,협상|교섭|협의|거래
at least,최소한|적어도|적게는|보수적으로|어쨌든
experience,경험|체험|겪다|느끼다|경력
hire,고용하다|채용하다|뽑다|사람을 쓰다|빌리다
fire,화재|불|발사하다|소방의|해고하다
never,결코|절대|전혀|설마
sluggish,느린|부진한|게으른
economy,경제|경기|이코노미
downsize,축소하다|소형화하다|줄이다
lighting,조명|점화|점등
completely,완전히|완벽하게|모두|전적으로|철저히
mood,기분|분위기|무드|감정|마음
capture,잡다|포착|체포|담다|사로잡다
hobby,취미
photography,사진
drawing,그림|도면|끌기|스케치|선
clay,점토|진흙|클레이
musician,음악가|뮤지션|가수
excellent,훌륭한|뛰어난|좋다|우수한|잘했어
amazing,놀라운|대단한|멋진|흥미로운
nod off,꾸벅꾸벅 졸다|앉은 채 졸다|잠들다
exam,시험|조사
joke,농담|장난|놀리다|재담
cheat,부정 행위|속이다|바람 피우다|사기꾼|사기
work on,작업하다|수리하다|…에 작용하다
awful,끔찍한|엄청난|무서운|심한|지독한
juvenile,청소년의|아이다운|유치한
oops,이런|아차|아이코
elevator,엘리베이터
no way,절대로 안 돼|천만의 말씀|싫어
club,클럽|동아리|팀|구단|곤봉
breathtaking,아슬아슬한|깜짝 놀랄 만한|숨이 멎을만큼 놀라운
much less,훨씬 더 적은|더군다나 …아니다
watermelon,수박|그 과일
get to,되다|가다|싶다|시작하다|도착하다
make it,만들다|성공하다|해내다|시키다|도착하다
look at,보다|살펴보다|쳐다보다|조사하다|관찰하다
guy,사람|남자|너희들|친구|녀석
ugly,추한|불쾌한
old,오래된|노인|나이든|늙은|낡은
necktie,넥타이
glad,기쁜|좋은|다행인|고마운|반가운
bridesmaid,신부 들러리|후원자|조연
invitation,초대|초청|참석|제의|신청
send out,배포하다|내다|가져 오도록 주문하다
dead,죽은|시신|사망|다 되다|돌아가신
funeral,장례의|상례|국민장|장의|영결식
snowy,눈 오는|순백의|눈 덮인
dress up,정장을 해야 하는|정장|복장을 제대로 갖추어야 하는
fat,지방|비만한|뚱뚱한|기름|살찐
serious,심각한|진지한|정말|중대한|위험한
painkiller,진통제
sell,팔다|판매하다|매각하다|매도하다|매매
side effect,부작용|후유증
medicine,의학|약|의술|의사직
recommend,권고하다|추천하다|건의하다|제시하다
aspirin,아스피린|그 정제|진통제
digestion,소화|소화력|숙고
physician,의사
exactly,정확히|바로|그렇소|딱|확실히
quite,꽤|아주|상당히|상당수의|완전히
begin,시작하다|발생하다|착수하다|출발하다
abdomen,복부|배
supper,저녁 식사|만찬|야식
cab,택시
one day,어느 날|하루|언젠가는|당일|한때는
hear,듣다|소식을 듣다|경청하다
smile,미소|웃다|미소 짓다|웃음|스마일
totally,완전히|정말|전혀|전적으로|전부
goods,상품|물품|물건|재화|물자
get out of,나오다|나가다|가다|벗어나다|꺼내다
since,…이후|…때부터|…이래|그 후
bye,안녕|잘가요|인사|부전승|작별
either,…이라고는 하지만|또한|어느 쪽|역시|양쪽의
arrive,도착하다|오다|가다|도달하다|도래하다
flight,비행기|비행|항공편|여행|도피
board,위원회|보드|…판|이사회|탑승하다
passport,여권
police,경찰|치안|공안|폴리스|순경
bus stop,버스 정류장
around,주변에|주위에|돌아다니는|근처에
police station,경찰서|경찰 본서
bus,버스|시내버스
bad,나쁜|좋지 않은|잘못된|심한|해로운
traffic,교통|트래픽|차|통행|거래
or so,…쯤|…정도|…가량
in,…안에|…으로|…에
take,(시간)이 걸리다|가지다|받다|찍다|데려가다
over there,저쪽에|저쪽으로|유럽으로
follow,따르다|뒤를 잇다|지켜보다|따라가다|추종하다
seat,앉다|자리|좌석|의석|시트
welcome,환영하다|맞이하다|환대하다
all right,좋아|알았어|괜찮아|자|무사한
month,달|개월|월
America,미국|아메리카
station,정거장|역|방송국|기지|주둔하다
avenue,길|…가|방법
get on,말하다|타다|일어나다|오르다|무릎 꿇다
heavy,중(重)…|무거운|강력한|과중한|심한
in front of,앞에|앞길에|눈앞에서|앞쪽
left,being or located on or directed toward the side of the body to the west when facing north
straight,연속한|직선|바로|똑바로|곧장
and then,그리고|...면|다음|나서|후에
block,블록|차단|막다|구역|봉쇄
corner,구석|모퉁이|코너|궁지
turn,되다|돌리다|켜다|바꾸다|변하다
walk on,단역|단역 배우|단역의
library,도서관|서재|장서
turn on,작동|등돌리다|켜지다|틀다|흥분시키다
idea,생각|아이디어|개념|사상|방법
interesting,흥미로운|재미있는|놀라운
bored,지루한|싫증난
sun,태양|해|햇볕
boyfriend,남자 친구|애인|보이프렌드
as usual,언제나 처럼|여느 때처럼
spring break,봄방학
plan,계획하다|예정|플랜|구상|의도
someday,언젠가|훗날|머지않아
however,그러나|하지만|그런데|그렇지만
china,중국|중화 인민 공화국|도자기
japan,일본
travel,여행|이동|교통|운행|달리다
traditional,전통적인|구식의|고풍의
souvenir,기념품|선물|추억
absolutely,절대적으로|완전히|전혀|물론|정말로
again,다시|또|다시 한 번
fantastic,멋진|환상적인|상상의|이상한|이유없는
past,과거의|과거형|지난|최근인|옛날의
half,절반|1/2|전반전|30분|하프
start,시작하다|처음|출발점|출발하다|설립하다
ticket,티켓|표|승차권|입장권|딱지
two,둘
favorite,좋아하는|마음에 드는|우승 후보|인기 있는
horror,공포|무서움|참상|호러
see,보다|알다|만나다|발견하다|확인하다
kind,종류|…가지|친절한|부드러운|착한
play,게임하다|역할을 하다|연주하다|경기|뛰다
bring,가지고 다니다|가져다 주다|데려오다|일으키다|생기다
great,위대한|큰|훌륭한|좋은|많은
nearly,거의|가까이
touching,…에 관하여|감동적인|남의 마음을 움직이는
movie theater,영화관
afternoon,오후|점심
her,그녀를|그녀의|그녀가|그녀에게|여자
study,연구|조사|공부|검토하다|관찰하다
age,나이|시대|노인들|오래되다|오랫동안
Greece,그리스
beautiful,아름다운|예쁜|훌륭한|멋있는|화창한
at,…에|…으로|…에서
lively,생생하게|활발하게|활기차게|밝은
party,정당|파티|관계자|당사자|단체
cigarette,담배|궐련
smoke,흡연|담배를 피우다|연기|화재|훈제하다
take care,돌보다|보호|살펴보다|관리|처리하다
number,수|다수|번호|…을 세다
know,알다|알려져 |인식하다
good,좋은|잘|훌륭한|착한|괜찮은
that,저것|것|그|다른
today,오늘날|오늘|현재|지금|요즘
good morning,안녕하십니까|좋은 아침입니다
frugal,검소한|절약하는|간소한
tree,나무|트리|수목|관계|가계도
new,새로운|새|최근의|뉴|신...
tax,세금|세|과세하다
plus,게다가|플러스|또한|이상의|더욱이
of course,물론|당연히|그렇지|사실|응
included,포함된|수록|들어간|둘러싸인|…을 포함한
one,하나|어느|한번|한 개|유일한
minute,분|잠깐|적은 양의|의사록
wait,기다리다|대기하다|지켜 보다|기대하다
need,필요|해야 한다|된다|요구|수요
by,…에 의하여
pay,지불하다|임금|지급하다|갚다|보상하다
visa,비자
credit card,신용카드|비자카드
cash,현금화하다|현금|돈|현찰
sale,판매|매각|매매|세일|매출
bag,가방|봉지|백|주머니|봉투
girlfriend,여자 친구|애인|연인
help,도움|돕다|도와주다|기여하다
try on,입어 보다|시험 착용|신어보다
black,흑인의|검은|블랙의|흑
color,색|색채|색깔|컬러|색상
shoe,신발|구두
then,그 이후에|그렇다면|그 당시의|그래서|게다가
rack,짜내다|…걸이|선반|침대
flour,가루|밀가루
shop,쇼핑하다|가게|상점|매장|샵
fun,재미있는|즐거운|장난|웃긴|신나는
really,정말|사실상|실제로|아주|매우
can,할 수 있다|캔|통조림
usually,보통|대개|일반적으로|늘|평소
light,빛|조명|밝게하다|광선|켜다
big,큰|중요한|많이|대단한
yet,아직|그러나|하지만|그런데도|여전히
enjoy,즐기다|하세요|누리다|즐겁게|재미있다
late,말기의|늦은|늦도록|늦게|최근의
wish,바라다|소원|…좋겠어|…싶다|기원하다
stay,머무르다|유지하다|체류하다|지내다|보내다
dessert,디저트|후식
appetizer,식욕을 돋우는 것|전채|식욕 촉진제
lunch,점심|도시락|간이 식당
much,훨씬|매우|많은|크게|대부분
me,나를|나에게|나|나의
dinner,저녁|저녁식사|만찬|정찬
free,자유의|무료의|…이 없는|해방시키다|벗어난
all,모든|모두|다|전부|전체
anything,무엇이든|어느 것이든|아무것도|조금이라도
fry,튀김|튀기다|프라이|감자튀김|망가지다
cheeseburger,치즈버거
bill,법안|빌|지폐|증권|청구서
sorry,미안한|죄송한|유감스러운|안됐다|사과하는
so,그래서|그렇게|그렇다면|그러니|따라서
food,음식|식품|식량|먹이|먹을 것
Chinese,중국인|중국어|중국의|중국 사람
soak,흡수하다|젖다|담그다|빨아들이다|전념하다
forgot,잊었다|까먹었다|두고 갔다|forget의 과거·과거 분사형
rice,쌀|벼|밥
make,…하게 하다|만들다|이루다|(돈을) 벌다|바꾸다
hungry,배고픈|부족한|기아의|먹고 싶은
tasty,맛있는|맛좋은|맛난|먹음직스러운
very,매우|아주|정말|굉장히|가장
tried,…하려고 한|노력한|먹어 본|입어 본
miss,놓치다|그리워하다|미스|실종되다|빼먹다
nearby,근처의|인근의|가까운|주변의|근거리
hotel,호텔
leave,떠나다|남기다|맡기다|출발하다
style,스타일|방식|양식|형식|문체
like,…같은|좋아하다|…하고 싶은|마치|마찬가지로
best,최고의|가장 …한|최선의|베스트|최대의
suit,정장|소송|옷|어울리다
which,어떤|어느
last name,성
spell,철자하다|쓰다|스펠링|마법|날씨
fine,좋은|벌금|미세한|잘|고급의
a,영어 알파벳의 첫째 자|하나의|어떤 하나의|…이라는 것
for,…을 위하여|…을 기념하여|…용의
reserve,준비의|예비|매장량|예약하다|보유하다
too,너무|또한|지나치게|매우
disappointing,실망시키는|기대보다 못한|기대에 어긋나는
tell,말하다|이야기하다
look for,찾다|주세요|위해|원하다|찾아보다
find,찾다|발견하다|알다|알아보다
later,후에|나중에|말에|뒤에|안에
come for,…의 목적으로 오다|가지러 오다|마중 나오다
someone,누군가|어떤 사람
check,확인하다|점검하다|검사|체크|수표
Will,의지|…할 것이다|유언
just,것만 |그냥|단지|방금|그저
please,제발|부디
stamp,우표|도장|찍다|짓밟다|인쇄하다
would like,할래요?|하고싶다|생각하다|주세요|좋겠어
next,다음의|차기|옆에|앞으로|내년
housework,가사|집안일
errand,볼일|심부름
clean up,청소|깨끗하게|치우다|정화|뒤처리
than,보다|보다는|…이외의|다름아닌
something,무언가|어떤 것|중요한 것|어떤 일|조금
ask,묻다|질문하다|요청하다|부탁하다|말씀하다
any,어떤|전혀|어느|아무|누군가
family,가족|가문|식구
live with,참고지내다|…을 받아들이다|감수하다
people,사람들|국민|인간|주민|대중
right now,지금|현재|당장|이제|요즘
near,근처|가깝게|인접한|거의|접근한
room,방|공간|여지|자리|장소
clean,깨끗한|청소하다|맑은|치우다|지우다
who,누구
cook,요리사|요리하다|만들다|쿡|조리된
there,a location other than here
kitchen,부엌|주방
she,그녀|그 여자
mother,어머니|어미|모국의|수녀원장
your,여러분의|당신의|너의|자네의
where,어디|곳|장소
watch,보다|지켜보다|관람하다|시계|관찰하다
what,무엇|어떻게|어떤|뭐라고|무슨
daughter,딸|여성|양녀|파생
son,아들|자식|양자|자손
has,have의 3인칭·단수·직설법·현재형
have,가지다|얻다|걸리다| 낳다|소유하다
his,그의|그의 것|그 사람의|신의
he,그는|그 사람은|그것은|남자|신
married,결혼한|기혼의|부부|유부남
younger,더 젊은|더 어린|젊은이|동생인|아래의
elder,노인|어른|연장자|장로|고참
brother,형제|동포|형씨
about,…에 대하여|약…|정도|좀|거의
look,보다|찾다|표정|살펴보다|바라보다
think,생각하다|같다|상상하다|평가하다|예상하다
sister,여동생|자매|누나|언니|수녀
